description,file_name
commonprime sort examine unique method sort sequence number increase order method allow swap number common prime factor example sequence sort use follow step step sequence step element swap step element swap step element swap depend nature sequence approach fail complete sorting coprime sort approach examine sequence coprimesortable program determine sequence sort increase order iterate arbitrary number swap operation element common prime number,p00392.html
kth exclusive exclusive xor operation binary number produce ne y operation represent symbol oplus definition oplus oplus oplus oplus exclusive nonnegative integer comprise follow procedure binary representation integer xore bit bit basis resultant bit array constitute new integer operation represent symbol oplus example xor decimal number equivalent binary operation oplus result decimal format bitwise xor operation sequence consist nonnegative integer z m define follow v i v i oplus z i leq leq bitwise xor series define v m sequence consist nonnegative integer ample sheet paper box perform follow operation combination integer leq leq leq n perform bitwise xor operation subsequence l th r th element result b select sheet paper write box assume ample sheet paper available complete trial select positive integer line sheet paper inside box decrease order number write want know number write k th sheet paper series perform operation describe line sheet paper decrease order number write program determine k th number series,p00397.html
road construction zuia kingdom finally emerge annexation city identify index n appoint minister transport newly bear kingdom construct intercity road network simplify conceptual design planning opt consider city point map i th city represent coordinate x i y i cost road construction connect u th v th city equal distance x u x v y u y v whichever large notation a represent absolute value a object explore minimum cost require construct road network way people different city road program calculate minimum total road construction cost number city coordinate,p00398.html
foehn phenomenon kingdom ioi wind blow sea land spot number n wind spot spot order joi house spot n altitude spot altitude spot leq leq a i wind blow surface ground temperature wind change accord change altitude temperature wind spot close sea degree leq leq change temperature wind spot spot depend value a i a i following way a i a i temperature wind decrease degree altitude a i geq a i temperature wind increase degree altitude tectonic movement active land kingdom ioi datum tectonic movement day j th leq leq day change altitude spot l j leq leq r j leq l j leq r j leq describe x j x j negative altitude increase x j x j negative altitude decrease x j task calculate temperature wind house joi tectonic movement task datum tectonic movement calculate leq leq temperature wind house joi tectonic movement j th day,p00559.html
semiexpress joi railway railway company kingdom joi station number railway currently kind train operate express local local train stop station leq local train minute station station express train stop station s m s m leq express train minute station station joi railway plan operate kind train semiexpress leq semiexpress train minute station station stop semiexpress train determine satisfy follow condition semiexpress train stop station express train stop semiexpress train stop station exactly joi railway want maximize number station station travel station minute joi railway plan determine stop semiexpress train number maximize count standing time train travel station station train direction number station increase kind train stop station leq leq transfer train stop station stop semiexpress train determine appropriately maximum number station station travel station minute task number station joi railway stop express train speed train maximum travel time calculate maximum number station satisfy condition travel time,p00560.html
kingdom joioi kingdom joioi rectangular grid time cell kingdom joioi order improve efficiency administrative institution country divide region joi ioi want divide complicated way division satisfy follow condition region contain cell cell belong exactly region pair cell joi region travel pass cell belong joi region cell cell cell share edge true ioi region row column cell row column cell belong region connect cell row column belong region cell integer altitude divide country region expect travel region active difference altitude cell large travel hard like minimize maximum difference altitude cell belong region word like minimize large value difference maximum minimum altitude joi region difference maximum minimum altitude ioi region task altitude cell kingdom joioi calculate minimum large value difference maximum minimum altitude joi region difference maximum minimum altitude ioi region divide country region,p00561.html
soccer manager prestigious soccer team joi league team player number n player practice hard order win tournament game field rectangle height meter width meter vertical line field northsouth direction horizontal line field eastw direction point field denote i meter south meter east northwest corner field practice finish player clear ball beginning clearance player leq leq stand s i t i ball field player stand s n t n player n clearance finish ball pass s n t n catch clearance process ask player act player act fatigue degree increase accord action list possible action player player ball act i ii iii act choose direction eastwestsouthnorth choose positive integer p kick ball direction ball exactly meter kicker action lose ball fatigue degree increase time b choose direction eastwestsouthnorth meter direction ball fatigue degree increase regardless ball iii place ball stand lose ball fatigue degree change ball fatigue degree change player action stand place ball ball note possible player ball leave field player stand place player finish practice fatigue degree increase want calculate minimum possible value sum fatigue degree player clearance process task size field position player calculate minimum possible value sum fatigue degree player clearance process,p00562.html
rope joi baby play rope rope length place straight line leave right rope consist cord cord connect straight line cord length thickness total color use rope color i th cord left c i leq c i leq joi rope shorter joi repeat follow procedure length rope let length rope choose integer leq shorten rope combine cord point length leave rope leftmost point precisely follow leq leq leq combine i th cord leave cord left procedure rightmost point rope rightmost point length rope j leq leq combine i th cord leave cord left procedure leftmost point rope rightmost point length rope j cord combine cord color cord change color cord combine cord cost change color cord equal thickness adjust color cord combine single cord thickness equal sum thickness cord joi want minimize total cost procedure shorten rope length color joi want calculate minimum total cost procedure shorten rope final rope length contain cord color task solve problem instead joi task color cord initial rope calculate color minimum total cost procedure shorten rope final rope length contain cord color,p00563.html
problem compute,p00586.html
pair prime arrange number increase order decrease order like number face form pair task compute number pair number pair prime,p00590.html
boring commercial spring holiday lazy student finally pass final examination decide kick watch day source entertainment watch commercial usual big nuisance watch thing television bear single second commercial prevent boredom boring commercial shuffle channel watch program different channel single commercial number channel duration commercial channel print long interval lazy student watch television shuffle different channel commercial example consider simplified situation television channel suppose watch hrs hrs suppose commercial display follow time channel channel channel channel case watch getting interrupt commercial hour watch channel channel channel,p00592.html
color universe clear night boy campanella look sky star different color red yellow green blue purple etc watch star lose track time presently wonder star space color universe look outside find answer question sleep moment thought propose hypothesis observe star sky half star color color universe collect datum star universe consistently observe try count number star bed sick cold decide help develop program identify color universe array let a number element let number example a program find a report fact example array answer,p00594.html
problem great common divisor find great common divisor natural number clue euclid algorithm way resolve task,p00595.html
problem domino arrangement consider standard set western domino figure subset standard set domino decide subset arrange straight row accordance familiar playing rule touching end match example subset arrange row follow follow subset arrange row note usual domino play pair treat task input subset domino output yes input subset arrange row input set arrange row,p00596.html
problem combinatorial topology long believe dimensional place fill finite set polygon aperiodic way british mathematician sir roger penrose develop aperiodic tiling year establish theory know today quasicrystal classic penrose tile consist rhombi angle degree figure edge rhombus equal unit length fill entire place hole overlap figure example bold line boundary figure fill thin tile thick tile boundary set adjacent vertex counterclockwise orient thin tile degree thick tile degree need fill hole intersection,p00599.html
problem computation minimum length pipeline aizu wakamatsu city office decide lay hot water pipeline cover area city heat house pipeline start hot spring connect district city pipeline fork hot spring district cycle allow city office want minimize length pipeline order build possible expense compute minimal length pipeline program read input consist follow,p00600.html
problem dominate set hand map aizuwakamatsu city line map represent street dot street corner lion dor company build food store street corner people buy food unnecessary expensive build food store corner plan build food store people food right corner live walk street find corner food store figure food store problem simplify follow let unweighte undirected graph dominate set subset vertex adjacent vertex minimum dominating set dominate set minimum number vertex example graph black vertex member minimum dominating set design implement algorithm minimum domminate set problem,p00601.html
problem riffle shuffle number way shuffle deck card riffle shuffle example following perform riffle shuffle deck card divide deck deck consist half deck half deck card odd card pull deck stack deck initially card pull deck stack deck likewise operation repeat deck number card deck a b card pull finally obtain shuffle deck example single riffle operation deck right step deck deck deck step deck deck deck step deck deck deck step deck deck deck step deck deck deck shuffle deck operation riffle operation repeat time simulate riffle shuffle answer card finally place deck,p00603.html
problem cheat icpc peter love kind cheat week icpc break doctor sneak look problem icpc solve problem print program bring icpc electronic preparation strictly prohibit type program contest believe solve problem thank carefully debug program find optimal strategy certain victory team rank follow rule team solve problem rank higher case tie solve number problem team receive penalty rank higher penalty calculate rule team solve problem time team spend solve i e time submission time beginning contest add penalty submittion solve problem minute penalty add problem solve eventually penalty add find order solve affect result contest example problem minute minute minute solve respectively solve order penalty minute reverse order minute penalty peter easily estimate time need solve problem actually depend length program peter teammate ask calculate minimal possible penalty solve problem,p00604.html
problem vampirish night vampire family member vampire know extreme gourmet course vampire food human blood kind blood acceptable vampire drink blood blood type mixed vampire hisher favorite blood type cook family look inside fridge prepare dinner task judge family member dinner prepare use blood fridge,p00605.html
problem clean robot asimov robotic researcher love research hate housework house dirty develop cleaning robot follow figure house room room identify alphabet robot develop operate follow battery run robot stop robot choose direction cardinal point equal probability room direction robot clean room consume point battery room direction robot remain room addition junk room house robot enter robot remain try enter junk room robot consume point battery remain place battery charger robot room convenient asimov robot stop battery room battery run task compute probability robot stop battery room,p00606.html
problem emacslike editor emacs text editor widely use programmer advantage emacs cursor arrow key mouse example cursor right left push control key respectively addition cutandpaste perform mouse task simulate key operation emacslike editor program read text print corresponding edit text text consist line line consist zero alphabet space character line character blank line editor cursor point character endofline corresponding line cursor point endofline blank line addition editor buffer hold string sequence character linefeed editor accept follow set command corresponding line blank line word character endofline cursor character current line cursor endofline current line cursor character upper line exist line current line cursor character current line cursor character low line exist line current line cursor character current line cursor character right cursor point endofline cursor point endofline line current line cursor character low line cursor character left cursor point character cursor point character line current line cursor endofline upper line cursor point character delete character character endofline delete character shift left cursor point endofline line low line append endofline current line line current line shift upper cursor point endofline line current line perform command mention record linefeed buffer cursor point endofline cut character cursor inclusive endofline record buffer operation cursor indicate endofline current line buffer buffer hold linefeed insert linefeed cursor cursor character new line buffer hold character insert character cursor cursor character endofline originally point cursor cursor position read text beginning line initial buffer,p00607.html
problem amazing graze a d war planet acm icpc intense acm introduce new combat plane plane special system graze fight power plane increase close energy bullet icpc combat plane shoot combat plane energy bullet shape sphere radius precisely fight power plane equivalent number energy bullet distance plane equal helper captain intelligence unit ask analyze war situation information coordinate combat plane energy bullet additionally know follow thing combat plane energy bullet zcoordinate word zcoordinate ignore combat plane energy bullet pair combat plane energy bullet collide i e positive common volume task output total fighting power combat plane,p00609.html
problem piece cake city pastry shop shop popular cake pretty tasty man displeased shop owner shop cause shop unpopularity incredibly awful taste cake improve grow hate ill envy jealousy finally decide vandalize rival vandalize mess sale record cake rival shop sell kind cake sale quantity record kind calculate sum sale quantity pair cake k k number rearrange randomly replace original sale record owner rival shop bother write program find total sale quantity cake pitiful owner,p00613.html
problem icpc ideal coin payment change taro boy hate inefficiency pay coin number coin return change minimize order smoothly buy day doubt way efficient pay number coin clerk consume long time find total value maybe pay possible number coin think decide middle course try minimize total number pay coin return coin change buy product yen coin good calculation compute minimal number coin assume follow thing kind coin yen yen yen yen yen yen total value coin yen clerk return change number coin,p00614.html
problem traffic analysis camera observe line line respectively double lane follow figure camera locate line perpendicular lane line monitoring line red line figure monitoring system connect camera respectively car pass monitoring line correspond monitoring system record elapse time sec start monitoring task read record monitoring system print maximum time interval car pass monitoring line monitoring system start monitor simultaneously end monitoring indicate late time record,p00615.html
problem citation format write research paper definitely follow structured format format case strictly define student try write paper hard time format relate citation refer page material enumerate page number ascend order enumerate page number waste space use follow abbreviated notation refer page page page use notation example refer page write write example refer page refer previous page page write number page follow notation refer successive page equal typically comma use separate page number problem use space separate page number kind senior decide generate abbreviated notation junior struggle citation,p00637.html
problem old bridge long long ago thief look treasure run world day hear rumor island large treasure decide head finally find island treasure island island seashore land island walk island find old bridge island island try visit island pick treasure afraid steal visit bring treasure pick strong man bring treasure time old bridge break cross certain treasure judge collect treasure island land properly select order visit,p00638.html
problem accelerate railgun catch throw coin draw parabolic curve sparkle finger esper yes electromaster strong power million esper city flick thumb coin accelerate electromagnetic force shoot fleme righthand rule hold initial velocity coin exceed time speed sound coin shoot velocity heat air friction adiabatic compression result coin melt shine orange special ability railgun strength railgun hole meter diameter concrete wall defeat criminal post office robbery bank robbery city ability today decide destroy laboratory suspect inhumane experiment human body railgun shoot railgun coin destroy laboratory lack power find poweredsuit nearby decide use projectile case difficult sight properly suit big heavy coin shoot suit certain velocity vector current position depend position laboratory railgun hit firework ask cooperation strong esper city change direction object uncountable application esp let consider dimensional plane laboratory origin shoot projectile velocity vector esp virtual wall radius center origin projectile collide wall reflect incident angle equal reflection angle range railgun limit air friction decrease velocity projectile heat melt projectile completely condition judge railgun hit laboratory size laboratory suit ignorablly small railgun shoot allow pass,p00639.html
problem huge family dango family extremely huge number member member population city jokingly guess member fill planet near future warm gracious personality close usually communicate phone course family plan family plan thing choose choose partner family plan apply calling fee unit time discount f a cheap default fee person apply family plan time pair person apply twice choose partner appropriately member dango family apply twice huge number people difficult send message family member phone dang decide phone network clan use family plan let present definition clan let subset phone family plan apply clan person let send message phone family plan apply directly indirectly send message phone directly indirectly meet condition sum calling fee unit time minimize clan allow send message efficiently example suppose send message relate clan additionaly suppose people follow rule heshe receive message clan heshe relay message neibor respect clan prove message surely derivere people connect discount message derivere time person way information application family plan dango family calculate way different clan construct output answer modulo big,p00641.html
problem ben toh usual wolf p m supermarket thing want box lunch label half price scramble discount box lunch fiercely fight day bless hunger appetite good acquire box lunch cup raman tear eye senior high school student sato wolf dormitry live serve dinner parent send money absolutely acquire halfprice box lunch save money comic book video game begin parttime job sato excellent wolf acquire discount box lunch probability day day wolf cooperate block probability box lunch probability day day likewise box lunch certain day probability day half fail box lunch probability continue supermaket try discount box lunch day compute expect value number discount box lunch acquire,p00642.html
problem roll dice north country conquer great shogunsama mean king recently beautiful dice order great shogunsama citizen country citizen receive beautiful dice tear delight enthusiastically play game dice game play grid cell number design great shogunsama noble philosophy player die starting cell destination cell roll die roll die penalty multiple number write current cell number print face die malicious conspiracy enemy country great shogunsama strongly wish decide beautiful dice initially face face south face east find number initially face north sum number opposite face die needless idiot die outside grid punish immediately great shogunsama pleased citizen beautiful dice penalty grid start cell destination cell citizen send coal imply labor slave citizen deal great shogunsama expectation,p00643.html
problem winter bell good night world come p m december yes night cristmas eve santa clause come silent city ring bell overtake north wind sleigh reindeer pull shoot present soxes hang near window child sleigh depart big christmas tree fringe city miracle power christmas tree spread sky like web form path sleigh path thick miracle power easy path express undirected weighted graph derivere present strict time begin dawn miracle power rapidly weaken santa clause continue derivere pride santa clause excuse thing finish derivere dawn sleigh reindeer pull depart christmas tree correspond node city opposite fringe node short path santa clause create present miracle power shoot sleigh reindeer pull power short path reindeer select short path equal probability way city child wish santa clause look starlit sky home ith child home cross point miracle power correspond c i th node graph child santa clause santa clause node find probability child santa clause,p00644.html
problem mysterious onslaught human expose fierce onslaught unidentified mysterious extraterrestrial creature exhause long war regist long excellent wizard save yes time stand enemy dispatch earth align like square appearently lose fighting capability unexpected reason invent high grade magic spell myon defeat attack magic cover rectangle parallel axis cast spell myon enemy magic cover lose fighting capability tremendous power magic magic activate enemy selfrepaire circuit enemy lose fighting capability expose magic enemy repossess fighting capability win war enemy lose fighting capability let example array enemy dispatch mean enemy possess fighting capability mean enemy possess cast spell myon cover enemy result cast cover central enemy defeat cast spell cover remain cast myonmyonmyon short spell case information array generate short spell defeat,p00645.html
problem delight student university aizu work parttime restaurant staff restaurant train delighted provide delicious product fast speed provide product particularly depend skill staff manager restaurant want know long provide product restaurant employ system calculate long provide product automatically restaurant work employ system calculate manually student university aizu want calculate hope program task easier check day length time provide product check short equal minute check output ratio check total percentage,p00647.html
problem watchin tva animation method movie japan popular broadcast television program perform movie people especially young love anime lover jack mysterious guy uncertain age like anime broadcast midnight early morning especially room huge piece paper wall write timetable anime house watch japanese anime program broadcast japan use secret countrywide live system watch anime watch program broadcast time season program broadcast time mean program common minute broadcast time increase number anime program recent nervous actually people buy dvds program series end visit web site vhefoo love watch program live system course able watch program time describe program broadcast time set program watch program set absolutely task read timetable output maximum number watchable program jack watch program set course multiple choice program want number program watch program set broadcast time jack unfortunate announcement case program output addition anime program program minute,p00648.html
problem yanagi comic yanagi high school student hime boyfriend ninja fanboy like picture book write picture book ask picture book assistant today got ask help comic read picture book child kindergarten yanagi want let child read want insert number frame order course task assistant want task easily fast decide output order read frame base position frame print number order frame comic strip problem satisfy follow rule comic draw sheet rectangle paper assume paper xaxis assume righthand paper yaxis positive direction xaxis leftward positive direction yaxis direction paper large include frame comic word area frame paper area frame frame parallel xaxis yaxis frame overlap frame share line decide order read set frame follow step step choose unread frame rightmost position find frame multiple choose frame position find unread frame stop read frame choose start frame step assume position frame topright point frame step draw line rightbottom point start frame leftward horizontally line touch righthand frame stop draw line frame stop draw line touch edge paper stop draw step set unread frame line bottomside line draw step read step step,p00649.html
problem house huge family dango family extremely huge number member member population city jokingly guess member fill planet near future dango family huge family new house scale house large town warm gracious personality close year member hate member enormous influence family split group hope group meet new house building avoid meet adjust passageway figure room layout task write decide group room belong impossible room belong group room belong group room need belong exactly group group room task cancel build passageway house construction cancel cause cost number room information passageway task low cost answer low cost characteristic dango family slowly passageway escalator passageway oneway,p00650.html
problem legend storia storia kingdom artifact perfect sphere great meister hand generation royal palace treasure leave memo fill mysterious value achievement research reveal value denote coordinate value unknown definition coordinate system way person live age live value meister leave define follow set object artifact sphere surprisingly rigid body perpetual organization object rotate inside sphere touch inside surface sphere value coordinate tangent point object sphere dimensional value object plate simple polygon simple mean non selfintersected rotate touch great circle sphere assume great circle circle center origin plane twodimensional cartesian coordinate system direction positive xvalue right direction positive yvalue plate touch circle single point beginning movement rotate counterclockwise current touching point rotation fulcrum point plate touch circle newly plate continue rotate describe rotation rotation fulcrum point change point point interpret point point distant point currently touching point distance length arc circle point point clockwise ask excellent assistant enumerate tangent point fulcrum point movement plate circle movement plate describe chronological order course previous distinct point follow figure example movement plate inside circle,p00651.html
